nominal	bei	accepted
utf-8	1	utf-8,utf8
utf-16	2	utf-16,utf16,utf-16le,utf16le,unicode,unicodefeff,ucs-2
utf-16be	3	utf-16be,utf16be
latin1	0	latin1,l1,ascii,us-ascii,iso-8859-1,iso8859-1,cp1252,windows-1252,cp819,ibm819
latin2	0	latin2,l2,iso-8859-2,iso8859-2
latin3	0	latin3,l3,iso-8859-3,iso8859-3
latin4	0	latin4,l4,iso-8859-4,iso8859-4
latin5	0	latin5,l5,iso-8859-9,iso8859-9,cp1254,windows-1254
latin6	0	latin6,l6,iso-8859-10,iso8859-10
latin9	0	latin9,l9,iso-8859-15,iso8859-15
iso-8859-5	0	iso-8859-5,iso8859-5,cyrillic
iso-8859-6	0	iso-8859-6,iso8859-6,iso-8859-6-e,iso8859-6e,iso-8859-6-i,iso8859-6i,asmo-708,ecma-114,arabic
iso-8859-7	0	iso-8859-7,iso8859-7,ecma-118,greek,greek8
iso-8859-8	0	iso-8859-8,iso8859-8,iso-8859-8-e,iso8859-8e,hebrew,visual
iso-8859-8-i	0	iso-8859-8-i,iso8859-8i,logical
iso-8859-11	0	iso-8859-11,iso8859-11,windows-874,dos-874,cp874,tis-620
iso-8859-13	0	iso-8859-13,iso8859-13,latin7,l7
iso-8859-14	0	iso-8859-14,iso8859-14,latin8,l8
iso-8859-16	0	iso-8859-16,iso8859-16
cp866	0	cp866,ibm866,866
cp1250	0	cp1250,windows-1250
cp1251	0	cp1251,windows-1251
cp1253	0	cp1253,windows-1253
cp1255	0	cp1255,windows-1255
cp1256	0	cp1256,windows-1256
cp1257	0	cp1257,windows-1257
cp1258	0	cp1258,windows-1258
euc-jp	1	euc-jp,cp954
euc-kr	1	euc-kr
koi8	0	koi8,koi,koi8-r
koi8-u	0	koi8-u,koi8-ru
mac	0	mac,macintosh
x-mac-cyrillic	0	mac-cyrillic,x-mac-cyrillic,x-mac-ukrainian
gbk	1	gbk,gb2312,chinese,euc-cn
gb18030	1	gb18030
big5	1	big5,big5-hkscs
sjis	1	sjis,shift-jis,ms932,windows-31j